City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Souillac,MU,-20.5167,57.5167,73.78,94,75,11.5,broken clouds
1,Mar Del Plata,AR,-38.0023,-57.5575,59.88,76,0,4.61,clear sky
2,Magaria,NE,12.9983,8.9099,91.42,10,98,8.72,overcast clouds
3,Vestmannaeyjar,IS,63.4427,-20.2734,45.5,86,67,13.02,broken clouds
4,Esperance,AU,-33.8667,121.9,67.84,42,99,17.27,overcast clouds
5,Qaqortoq,GL,60.7167,-46.0333,33.4,95,93,3.85,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,40.66,81,75,18.41,broken clouds
7,Fortuna,US,40.5982,-124.1573,59.94,80,100,11.5,overcast clouds
8,Kapaa,US,22.0752,-159.319,78.78,79,75,17.27,broken clouds
9,Kruisfontein,ZA,-34.0033,24.7314,51.89,82,1,6.87,clear sky
10,Katsuura,JP,35.1333,140.3,69.4,90,100,9.42,overcast clouds
11,Tiksi,RU,71.6872,128.8694,2.93,96,96,1.48,overcast clouds
12,Kargasok,RU,59.0556,80.8572,33.69,95,100,5.66,overcast clouds
13,Tuktoyaktuk,CA,69.4541,-133.0374,21.2,79,20,6.91,few clouds
14,Cidreira,BR,-30.1811,-50.2056,72.48,84,92,12.53,moderate rain
15,Faanui,PF,-16.4833,-151.75,81.64,72,11,10.63,few clouds
16,Kodiak,US,57.79,-152.4072,45.91,57,0,9.22,clear sky
17,Chalchihuites,MX,23.4833,-103.8833,82.17,7,11,11.92,few clouds
18,Mataura,NZ,-46.1927,168.8643,51.48,71,72,8.08,broken clouds
19,Vao,NC,-22.6667,167.4833,74.73,54,100,20.02,overcast clouds
20,Ahuimanu,US,21.4447,-157.8378,82.11,65,100,17.27,overcast clouds
21,Punta Arenas,CL,-53.15,-70.9167,39.31,75,20,13.8,few clouds
22,Sable-Sur-Sarthe,FR,47.8376,-0.3329,50.25,78,66,9.8,broken clouds
23,Port Macquarie,AU,-31.4333,152.9167,61.9,74,100,3.27,overcast clouds
24,Axim,GH,4.8699,-2.2405,79.56,87,38,5.59,scattered clouds
25,Ipixuna,BR,-1.7625,-48.8043,74.59,97,100,3.36,moderate rain
26,Oga,IT,46.4631,10.347,42.8,99,97,1.41,overcast clouds
27,Yashalta,RU,46.3395,42.2762,58.15,71,28,7.34,scattered clouds
28,Rikitea,PF,-23.1203,-134.9692,76.98,75,84,19.26,light rain
29,Mount Gambier,AU,-37.8333,140.7667,55.31,76,75,5.75,broken clouds
30,Avarua,CK,-21.2078,-159.775,84.25,79,100,9.22,overcast clouds
31,Cabedelo,BR,-6.9811,-34.8339,79.47,84,38,11.99,scattered clouds
32,Manzanillo,CU,20.3433,-77.1167,77.63,72,71,11.1,moderate rain
33,Albany,US,42.6001,-73.9662,63.25,37,100,4.0,overcast clouds
34,Lata,PT,40.1629,-8.3327,55.08,79,83,0.54,broken clouds
35,Dingle,PH,10.9995,122.6711,80.49,84,79,7.87,broken clouds
36,Hobart,AU,-42.8794,147.3294,50.22,93,20,6.91,mist
37,Yellowknife,CA,62.456,-114.3525,43.32,49,75,10.36,broken clouds
38,Yulara,AU,-25.2406,130.9889,57.04,88,98,4.61,overcast clouds
39,Suclayin,PH,15.7568,121.5503,78.8,90,58,2.35,broken clouds
40,Turukhansk,RU,65.8167,87.9833,1.26,97,23,3.96,few clouds
41,Arlit,NE,18.7369,7.3853,83.28,8,0,10.07,clear sky
42,Saskylakh,RU,71.9167,114.0833,2.91,99,99,3.53,overcast clouds
43,Havre De Grace,US,39.5493,-76.0916,62.17,67,100,12.19,overcast clouds
44,Busselton,AU,-33.65,115.3333,62.91,60,98,16.55,overcast clouds
45,Baie-Comeau,CA,49.2168,-68.1489,37.08,93,100,16.11,overcast clouds
46,Chuy,UY,-33.6971,-53.4616,66.27,98,100,5.48,overcast clouds
47,Ponta Do Sol,PT,32.6667,-17.1,60.71,77,51,9.73,broken clouds
48,Koryukivka,UA,51.7688,32.2481,50.68,95,86,2.08,overcast clouds
49,Ormara,PK,25.2088,64.6357,81.55,80,0,14.45,clear sky
50,Bandarbeyla,SO,9.4942,50.8122,80.78,74,100,4.14,overcast clouds
51,Hermanus,ZA,-34.4187,19.2345,48.79,73,1,5.97,clear sky
52,Aswan,EG,24.0934,32.907,85.3,12,0,4.61,clear sky
53,Ponta Delgada,PT,37.7333,-25.6667,60.49,82,40,4.61,scattered clouds
54,Carnarvon,AU,-24.8667,113.6333,64.47,94,40,6.91,scattered clouds
55,Bethel,US,41.3712,-73.414,59.09,38,100,11.5,overcast clouds
56,Georgetown,MY,5.4112,100.3354,80.53,93,20,3.44,few clouds
57,Porto Novo,BJ,6.4965,2.6036,81.14,84,18,6.6,light rain
58,La Ronge,CA,55.1001,-105.2842,37.65,23,0,16.11,clear sky
59,New Norfolk,AU,-42.7826,147.0587,49.87,89,83,2.06,broken clouds
60,Zafarwal,PK,32.3463,74.8999,75.36,28,0,7.11,clear sky
61,Port Alfred,ZA,-33.5906,26.891,55.18,91,24,5.01,few clouds
62,Mount Isa,AU,-20.7333,139.5,69.57,100,100,4.61,overcast clouds
63,Lebu,CL,-37.6167,-73.65,54.59,79,99,24.32,overcast clouds
64,Shahr-E Kord,IR,32.3256,50.8644,51.57,66,75,4.61,broken clouds
65,Puerto Ayora,EC,-0.7393,-90.3518,75.16,81,89,9.13,overcast clouds
66,Tuatapere,NZ,-46.1333,167.6833,51.62,65,33,5.93,scattered clouds
67,Faya,SA,18.3851,42.4509,61.32,55,0,3.78,clear sky
68,Mahebourg,MU,-20.4081,57.7,73.69,94,75,11.5,broken clouds
69,Saint-Philippe,RE,-21.3585,55.7679,72.21,77,76,11.41,broken clouds
70,Kelo,TD,9.3086,15.8066,90.28,37,94,4.16,overcast clouds
71,Sakakah,SA,29.9697,40.2064,71.17,58,92,4.16,overcast clouds
72,Nhulunbuy,AU,-12.2333,136.7667,83.01,89,43,4.61,scattered clouds
73,Bambous Virieux,MU,-20.3428,57.7575,73.65,94,75,11.5,light rain
74,Talnakh,RU,69.4865,88.3972,-0.8,97,100,6.08,overcast clouds
75,Tairua,NZ,-37.0167,175.85,64.26,64,1,3.0,clear sky
76,Alta Floresta,BR,-9.8756,-56.0861,75.52,83,72,2.95,broken clouds
77,Bredasdorp,ZA,-34.5322,20.0403,53.76,78,0,3.11,clear sky
78,Cape Town,ZA,-33.9258,18.4232,60.91,70,0,11.5,clear sky
79,Kismayo,SO,-0.3582,42.5454,82.17,78,9,11.27,clear sky
80,Hilo,US,19.7297,-155.09,83.28,73,75,11.5,broken clouds
81,Henties Bay,NA,-22.116,14.2845,61.63,74,0,6.17,clear sky
82,Klaksvik,FO,62.2266,-6.589,36.52,74,100,13.09,overcast clouds
83,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,75.61,88,21,3.22,few clouds
84,Jiupu,CN,41.0667,122.95,56.75,91,73,9.4,broken clouds
85,Thompson,CA,55.7435,-97.8558,26.76,31,40,6.91,scattered clouds
86,Ilulissat,GL,69.2167,-51.1,26.62,86,75,0.0,light shower snow
87,Luau,AO,-10.7073,22.2247,65.68,92,95,2.59,overcast clouds
88,Saldanha,ZA,-33.0117,17.9442,51.85,79,18,12.48,few clouds
89,Mount Pleasant,US,32.7941,-79.8626,80.74,71,0,11.5,clear sky
90,Takoradi,GH,4.8845,-1.7554,80.31,86,25,5.64,scattered clouds
91,Qaanaaq,GL,77.484,-69.3632,9.1,68,51,6.42,broken clouds
92,Hauterive,FR,46.0901,3.4459,50.76,94,94,2.44,light rain
93,Marawi,PH,7.9986,124.2928,73.17,88,100,1.39,overcast clouds
94,San Cristobal,VE,7.7669,-72.225,71.78,84,74,0.67,broken clouds
95,Tura,IN,25.5198,90.2201,71.33,87,0,4.97,clear sky
96,Rafai,CF,4.95,23.9167,69.3,99,92,1.12,overcast clouds
97,Butaritari,KI,3.0707,172.7902,80.38,82,29,13.0,scattered clouds
98,Chokurdakh,RU,70.6333,147.9167,10.08,91,78,4.16,broken clouds
99,Gezing,AT,47.9178,13.1299,48.34,98,75,2.3,broken clouds
100,Bluff,NZ,-46.6,168.3333,51.8,71,96,24.0,overcast clouds
101,Raudeberg,NO,61.9875,5.1352,45.27,81,14,24.83,few clouds
102,Anadyr,RU,64.75,177.4833,28.9,68,0,20.13,clear sky
103,Naze,JP,28.3667,129.4833,74.32,90,49,16.51,scattered clouds
104,Bonavista,CA,48.6499,-53.1147,36.07,90,96,13.44,overcast clouds
105,Tecoanapa,MX,16.5167,-98.75,85.19,56,8,10.94,clear sky
106,Jamestown,US,42.097,-79.2353,62.24,75,100,18.41,light rain
107,Skelleftea,SE,64.7507,20.9528,39.56,54,75,12.66,broken clouds
108,Dikson,RU,73.5069,80.5464,6.96,98,100,2.13,overcast clouds
109,Riverton,US,40.5219,-111.9391,65.71,17,0,8.05,clear sky
110,Gubkinskiy,RU,64.434,76.5026,5.88,97,62,3.87,broken clouds
111,Marzuq,YE,14.4,46.4667,73.4,59,98,4.65,overcast clouds
112,Mandalgovi,MN,45.7625,106.2708,21.96,46,3,11.23,clear sky
113,Vaini,TO,-21.2,-175.2,73.56,88,75,11.5,light rain
114,Pacora,PA,9.0833,-79.2833,85.21,70,40,8.05,scattered clouds
115,Gushikawa,JP,26.3544,127.8686,78.39,92,100,14.97,overcast clouds
116,Tasiilaq,GL,65.6145,-37.6368,32.16,97,100,7.43,light snow
117,Chapais,CA,49.7834,-74.8492,38.98,98,100,9.37,overcast clouds
118,Nanortalik,GL,60.1432,-45.2371,33.89,92,97,2.59,overcast clouds
119,Amazar,RU,53.858,120.875,35.94,61,100,5.55,overcast clouds
120,Broome,US,42.2506,-75.833,68.67,56,0,16.11,clear sky
121,Ostrovnoy,RU,68.0531,39.5131,32.49,96,100,12.06,overcast clouds
122,Barrow,US,71.2906,-156.7887,15.82,73,100,12.66,overcast clouds
123,Hualmay,PE,-11.0964,-77.6139,68.43,82,98,9.51,overcast clouds
124,Nouakchott,MR,18.0858,-15.9785,69.73,75,5,20.42,clear sky
125,Kaitangata,NZ,-46.2817,169.8464,53.08,66,58,15.73,broken clouds
126,Kon Tum,VN,14.35,108.0,70.72,95,48,1.36,scattered clouds
127,Mosquera,CO,4.7059,-74.2302,59.09,82,75,10.36,broken clouds
128,Hambantota,LK,6.1241,81.1185,79.11,86,21,3.78,few clouds
129,Laguna,US,38.421,-121.4238,84.06,25,0,6.91,clear sky
130,Isoka,ZM,-10.1606,32.6335,62.24,98,94,1.86,light rain
131,Calbuco,CL,-41.768,-73.1273,49.21,91,100,24.99,moderate rain
132,Marquette,US,46.5333,-87.6335,32.68,78,100,9.8,overcast clouds
133,Longyearbyen,SJ,78.2186,15.6401,3.04,55,40,13.8,scattered clouds
134,Visby,SE,57.6409,18.296,41.22,70,40,11.5,scattered clouds
135,Khatanga,RU,71.9667,102.5,2.12,98,100,4.76,overcast clouds
136,Jingdezhen,CN,29.2947,117.2079,72.64,97,100,1.83,overcast clouds
137,Matara,LK,5.9485,80.5353,77.63,87,48,1.86,scattered clouds
138,Prieska,ZA,-29.6641,22.7474,52.97,57,0,6.26,clear sky
139,Mackenzie,CA,55.2999,-123.1698,46.62,66,75,9.22,broken clouds
140,Maniitsoq,GL,65.4167,-52.9,28.96,85,100,8.77,overcast clouds
141,Upernavik,GL,72.7868,-56.1549,13.19,90,26,4.07,scattered clouds
142,Ndioum,SN,16.5129,-14.6471,89.49,34,3,15.75,clear sky
143,Nikolskoye,RU,59.7035,30.7861,41.72,97,100,4.36,overcast clouds
144,Lorengau,PG,-2.0226,147.2712,83.23,75,33,7.76,scattered clouds
145,Karratha,AU,-20.7377,116.8463,74.89,66,73,7.56,broken clouds
146,East London,ZA,-33.0153,27.9116,61.77,69,21,12.97,few clouds
147,Kandiari,PK,26.9156,68.5216,88.05,29,2,6.51,clear sky
148,Margate,GB,51.3813,1.3862,49.3,81,71,8.01,broken clouds
149,Ordzhonikidze,KZ,52.4411,61.7408,50.27,70,100,6.91,overcast clouds
150,Hasaki,JP,35.7333,140.8333,66.6,85,100,11.41,overcast clouds
151,Saint-Georges,GD,12.0564,-61.7485,80.28,78,40,8.05,scattered clouds
152,Mildura,AU,-34.2,142.15,60.76,67,100,6.91,light rain
153,Lompoc,US,34.6391,-120.4579,84.34,66,0,18.01,clear sky
154,Champasak,LA,14.75,106.0,73.92,97,94,2.3,overcast clouds
155,Lavrentiya,RU,65.5833,-171.0,26.92,78,98,6.98,overcast clouds
156,Viamao,BR,-30.0811,-51.0233,74.68,81,20,5.75,moderate rain
157,Aradippou,CY,34.95,33.5917,69.69,51,0,5.75,clear sky
158,Kumba,CM,4.6363,9.4469,74.05,96,100,1.59,overcast clouds
159,Severo-Kurilsk,RU,50.6789,156.125,32.67,93,99,21.79,light snow
160,Ayagoz,KZ,47.9714,80.4392,32.7,88,83,6.31,broken clouds
161,Abu Zabad,SD,12.35,29.25,85.86,9,100,5.77,overcast clouds
162,Mayo,US,38.8876,-76.5119,69.49,74,0,13.8,haze
163,Santiago,CL,-33.4569,-70.6483,69.24,57,20,18.41,few clouds
164,Zhigansk,RU,66.7697,123.3711,12.94,91,94,2.86,overcast clouds
165,Bagdarin,RU,54.4333,113.6,25.63,48,93,6.8,overcast clouds
166,Saint-Joseph,RE,-21.3667,55.6167,71.2,76,57,13.06,broken clouds
167,Sitka,US,57.0531,-135.33,48.09,71,100,9.22,overcast clouds
168,Ambilobe,MG,-13.2,49.05,71.71,85,92,3.85,overcast clouds
169,Kamenka,RU,51.3223,42.7678,54.3,77,98,8.61,overcast clouds
170,Castro,BR,-24.7911,-50.0119,61.27,84,1,2.26,clear sky
171,Roebourne,AU,-20.7833,117.1333,74.64,65,85,9.15,overcast clouds
172,Galle,LK,6.0367,80.217,79.0,83,70,2.17,broken clouds
173,Moose Factory,CA,51.2585,-80.6094,41.0,75,100,13.8,overcast clouds
174,Praia,CV,14.9215,-23.5087,75.74,53,0,25.32,clear sky
175,Guane,CU,22.2025,-84.0875,82.63,56,18,10.09,few clouds
176,Fallon,US,39.4735,-118.7774,73.45,12,75,9.22,broken clouds
177,Whitehorse,CA,60.7161,-135.0538,48.97,46,75,3.44,broken clouds
178,Montepuez,MZ,-13.1256,38.9997,68.2,98,76,2.08,broken clouds
179,Villa Constitucion,AR,-33.2278,-60.3297,72.99,93,100,7.2,overcast clouds
180,Vila Velha,BR,-20.3297,-40.2925,78.75,91,75,8.05,broken clouds
181,Ahipara,NZ,-35.1667,173.1667,67.75,59,25,6.91,scattered clouds
182,Oktyabrskoye,RU,43.0645,44.7417,48.34,93,3,6.71,clear sky
183,Ancud,CL,-41.8697,-73.8203,50.23,90,100,19.71,heavy intensity rain
184,Le Vauclin,MQ,14.5452,-60.8388,77.85,83,75,11.5,broken clouds
185,Tromso,NO,69.6496,18.957,26.62,80,75,14.97,light snow
186,Pokhara,NP,28.2333,83.9833,70.68,25,0,7.99,clear sky
187,Tres Lagoas,BR,-20.7511,-51.6783,80.8,47,88,4.29,overcast clouds
188,Bazarnyye Mataki,RU,54.8833,49.9333,48.47,83,50,8.01,scattered clouds
189,Cherskiy,RU,68.75,161.3,28.89,68,100,3.36,overcast clouds
190,Pacific Grove,US,36.6177,-121.9166,73.87,73,0,11.5,clear sky
191,Belmonte,BR,-15.8631,-38.8828,77.43,84,2,9.69,clear sky
192,Asau,RO,46.4333,26.4,49.95,88,4,6.55,clear sky
193,Pingliang,CN,35.5392,106.6861,61.5,48,69,3.85,broken clouds
194,Torbay,CA,47.6666,-52.7314,37.89,96,100,18.01,fog
195,Lagoa,PT,39.05,-27.9833,57.96,72,68,11.16,broken clouds
196,Arman,RU,59.7,150.1667,35.02,57,100,10.76,overcast clouds
197,Rawson,AR,-43.3002,-65.1023,60.39,31,100,24.05,overcast clouds
198,Zyryanka,RU,65.75,150.85,15.35,88,95,11.97,overcast clouds
199,Leningradskiy,RU,69.3833,178.4167,17.47,91,63,11.16,broken clouds
200,Chegdomyn,RU,51.1167,133.0167,34.93,76,100,4.72,light snow
201,Provideniya,RU,64.3833,-173.3,26.71,80,75,20.13,light snow
202,Bjornevatn,NO,69.6672,29.9847,28.74,74,0,8.05,clear sky
203,Iqaluit,CA,63.7506,-68.5145,1.13,70,20,21.85,few clouds
204,Berlevag,NO,70.8578,29.0864,26.4,73,64,29.93,light snow
205,Shenjiamen,CN,29.9576,122.298,62.89,99,100,16.44,overcast clouds
206,Rivera,UY,-30.9053,-55.5508,67.32,98,88,3.71,moderate rain
207,Cabras,IT,39.93,8.5314,51.62,82,26,4.56,scattered clouds
208,Qobustan,AZ,40.0824,49.412,59.32,63,27,1.74,scattered clouds
209,Saint-Pierre,RE,-21.3393,55.4781,72.28,80,0,9.22,clear sky
210,Hami,CN,42.8,93.45,60.51,26,99,9.93,overcast clouds
211,Lisakovsk,KZ,52.5369,62.4936,50.31,65,100,7.31,overcast clouds
212,Pevek,RU,69.7008,170.3133,23.7,72,100,2.24,overcast clouds
213,Samarai,PG,-10.6167,150.6667,84.49,72,75,12.91,broken clouds
214,Bogotol,RU,56.2078,89.5342,29.46,85,65,7.29,broken clouds
215,Miedzychod,PL,52.5988,15.897,40.48,95,67,4.81,broken clouds
216,Machico,PT,32.7,-16.7667,61.43,79,20,8.05,few clouds
217,Mehamn,NO,71.0357,27.8492,24.01,72,90,27.67,overcast clouds
218,Komsomolskiy,UZ,40.4272,71.7189,59.72,67,81,2.3,broken clouds
219,Shirokiy,RU,49.758,129.523,34.74,97,100,19.48,snow
220,Ca Mau,VN,9.1769,105.15,78.71,85,98,1.1,overcast clouds
221,Kirakira,SB,-10.4544,161.9205,84.61,72,76,5.28,broken clouds
222,Amga,RU,60.8953,131.9608,29.21,78,99,5.93,overcast clouds
223,Pathein,MM,16.7833,94.7333,78.49,85,21,5.84,few clouds
